   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-W/ab 17. Nov Baumaßnahmen am Gerinne
   01.01.2018              ;OWF-W/JB 2018: Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/JB 2018: Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Feb,Mrz,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Feb,Mrz,Nov,Dez durch Eis beeinflusst
   01.01.2021    31.12.2021;OWF-W/am 6. Okt Gerinneräumung
   01.01.2022    31.12.2022;OWF-Q/Im Mai nach ergänzten Wasserständen ermittelt
   01.01.2022    31.12.2022;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2022    31.12.2022;OWF-WT/Im Apr,Mai,Jul,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2023    31.12.2023;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2023    31.12.2023;OWF-Q/Im Jän,Feb,Okt nach ergänzten Daten ermittelt
   01.01.2023    31.12.2023;OWF-WT/Im Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez Daten ergänzt

